date,log_return,weekday,days_to_friday,target_forward_return,target_horizon_scaled_return,fwd_rvol,atm_iv_30d,quantile_0_prob,quantile_1_prob,quantile_2_prob,quantile_3_prob,quantile_4_prob,expected_scaled_return_sq_plain,expected_scaled_return_sq,expected_realised_variance_plain,expected_realised_variance,expected_realised_volatility_plain,expected_realised_volatility
2022-05-06,-0.0060277457975173,4,1,-0.0060277457975173,-0.0060277457975173,0.26998315957456,0.2642486451038882,0.2631897961396625,0.19744611052985664,0.11177374441306728,0.08548678249018092,0.34210356642723266,0.0001071362327934371,2.1457643202469972e-05,0.02699833066394615,0.005407326087022433,0.1643116875451839,0.07353452309645064
2022-05-09,-0.0331929673557639,0,5,-0.024481026753742505,-0.01094824799607185,0.2578545416936176,0.3047827152179995,0.24007181935571645,0.08661421658497866,0.1675760831113668,0.20080006839760056,0.30493781255033753,9.982800077808656e-05,1.9954714082359066e-05,0.025156656196077813,0.005028587948754485,0.15860849975987357,0.07091253731713797
2022-05-10,0.0037429862788342,1,4,0.0087119406020214,0.0043559703010107,0.2771201283111872,0.293505843426375,0.32638078274003623,0.10723365987112791,0.10504757241248917,0.08851474694155634,0.37282323803479034,0.00012320671299960424,2.4645521737508674e-05,0.031048091675900266,0.006210671477852186,0.176204686872683,0.07880781355837875
2022-05-11,-0.0175883931008873,2,3,0.0049689543231872,0.002868827116083085,0.2974574841437112,0.2972165129650275,0.29768133712708056,0.09045692795479925,0.10159899673428027,0.1410068961875661,0.36925584199627387,0.00011894262482344808,2.3783375092774812e-05,0.029973541455508918,0.0059934105233792525,0.17312868466984008,0.07741712035059979
2022-05-12,0.0,3,2,0.0225573474240745,0.01595045332914398,0.2983085973492195,0.2910460010783859,0.2325978655960799,0.15699977329707018,0.1344042865993929,0.09926284435667729,0.37673523015077975,0.0001079449671822141,2.159467671607856e-05,0.027202131729917953,0.005441858532451797,0.16493068765368668,0.07376895371666727
2022-05-13,0.0225573474240745,4,1,0.0225573474240745,0.0225573474240745,0.2933484835193292,0.2635669174096208,0.3299953525058798,0.12303885333060781,0.036887492911940954,0.14374336270006435,0.36633493855150717,0.00012407508438194188,2.4850184731369403e-05,0.031266921264249355,0.00626224655230509,0.17682454938228842,0.07913435759709615
2022-05-16,-0.0037243990909824,0,5,-0.031468927724637503,-0.014073332314263448,0.3158112777814122,0.2548488526281027,0.2628251042567826,0.1543590862490091,0.12786086409918854,0.14709819381497583,0.30785675158004394,0.00010291135202096478,2.05937230416397e-05,0.025933660709283123,0.0051896182064932045,0.16103931417291592,0.07203900475779218
2022-05-17,0.0184848146741031,1,4,-0.0277445286336551,-0.01387226431682755,0.3096892976907167,0.2381351233795119,0.24577732062114163,0.11396081448152431,0.17829288329424278,0.14240602894147583,0.3195629526616154,0.00010181636732325951,2.0351135160098614e-05,0.025657724565461396,0.0051284860603448505,0.16018028769315343,0.07161344887899794
2022-05-18,-0.0398558354356661,2,3,-0.0462293433077582,-0.02669052380319382,0.2892558149067169,0.2750226270099613,0.26161259657468,0.16375587394996427,0.153962284667827,0.19086181902764546,0.22980742577988328,9.103212381964996e-05,1.8203701207542208e-05,0.02294009520255179,0.004587332704300636,0.1514598798446367,0.06772985091007241
2022-05-19,-0.0063735078720921,3,2,-0.0063735078720921,-0.004506750636302167,0.2884503847527003,0.2630596722562031,0.34125947412264906,0.11291843304803245,0.06796601743373498,0.09962813658873848,0.378227938806845,0.0001271831167020732,2.5453029401568516e-05,0.03205014540892245,0.006414163409195266,0.1790255440123628,0.08008847238645063
2022-05-20,0.0,4,1,0.0,0.0,0.2901409926353765,0.2646574956324575,0.29844002742003684,0.07892281560237469,0.10652513094748128,0.16632255595604845,0.34978947007405875,0.00011668117563738679,2.3346124404143152e-05,0.02940365626062147,0.005883223349844075,0.1714749435358457,0.07670217304512353
2022-05-23,0.0189999382449039,0,5,0.0643786618134356,0.028791012823062376,0.3003368407489568,0.257985429139295,0.3202240250024036,0.08519904118733178,0.061893090753756944,0.15039211980269457,0.38229172325381305,0.00012543927417792296,2.5103485804254456e-05,0.031610697092836586,0.006326078422672123,0.17779397372474856,0.07953664829920935
2022-05-24,-0.0088217333291478,1,4,0.045378723568531704,0.022689361784265852,0.2989741200698746,0.269767293908407,0.2995331120348597,0.11060400027276114,0.10814670581635469,0.12350712782480544,0.3582090540512189,0.00011733612806011297,2.3471059531848844e-05,0.02956870427114847,0.005914707002025909,0.17195552992314167,0.07690713232220994
2022-05-25,0.0088217333291479,2,3,0.0542004568976795,0.03129264838007597,0.3055965592061554,0.2579980497634231,0.2584854532704115,0.18639615413096935,0.08759312260051136,0.10746661646883103,0.36005865352927685,0.00011029556593647618,2.207557391302784e-05,0.027794482615991996,0.005563044626083016,0.16671677364918022,0.07458582054306982
2022-05-26,0.0211056872123251,3,2,0.0453787235685316,0.0320876031568985,0.2971638886001904,0.2463033389235601,0.25454247467089003,0.13450094314718913,0.12068582635758306,0.16813476177299316,0.32213599405134463,0.00010497520400295051,2.1000639544981815e-05,0.02645375140874353,0.005292161165335417,0.16264609250991408,0.0727472416338614
2022-05-27,0.0242730363562065,4,1,0.0242730363562065,0.0242730363562065,0.2864439281592717,0.2301271577724035,0.2980900784533282,0.21125780388893464,0.13947620784667558,0.14393497787859044,0.20724093193247117,9.28149765342572e-05,1.858668562027457e-05,0.023389374086632813,0.004683844776309191,0.152935849579596,0.06843862050267517
2022-05-31,-0.007220247973487,1,4,-0.012062872449275001,-0.006031436224637501,0.2875916292603089,0.2403903184448002,0.28759205282126,0.12625472239660523,0.15159975639745418,0.19117920346024447,0.2433742649244362,9.824581470779871e-05,1.9649034671176535e-05,0.024757945306365273,0.004951556737136487,0.1573465770405104,0.0703672987767506
2022-06-01,-0.0072727593290798,2,3,-0.004842624475788001,-0.002795890544680473,0.2865701914793243,0.2361905666936162,0.21220759822626994,0.15962366854354212,0.17774934540874743,0.1515470967083198,0.2988722911131207,9.351122369602381e-05,1.8698394303816875e-05,0.023564828371398002,0.004711995364561852,0.15350839837415411,0.06864397544258237
2022-06-02,0.0180836754332953,3,2,0.002430134853291799,0.0017183648339604066,0.2800962248800951,0.2215020297298353,0.29508884826108006,0.15774580361990123,0.07139966575201077,0.20041629366813404,0.2753493886988738,0.00010508945556507401,2.103242080145694e-05,0.02648254280239865,0.005300170041967149,0.16273457777128575,0.07280226673646328
2022-06-03,-0.0156535405800035,4,1,-0.0156535405800035,-0.0156535405800035,0.2808017305769692,0.2294252835128941,0.28014837403927745,0.19227760885439954,0.14464427912917271,0.15747478684316454,0.22545495113398584,9.300957267444917e-05,1.8615365666726903e-05,0.02343841231396119,0.004691072148015179,0.1530960884998738,0.06849140200065391
2022-06-06,0.0024242436115064,0,5,-0.0523157893641605,-0.023396332262964677,0.280814934490641,0.22780112083398,0.24474180818491673,0.11857605370418244,0.14866385073576247,0.14986310466450573,0.33815518271063266,0.0001056493816697456,2.113624257907971e-05,0.026623644180775893,0.0053263331299280865,0.1631675340892786,0.07298173148074857
2022-06-07,0.0096386288377687,1,4,-0.0547400329756669,-0.02737001648783345,0.2816517966382674,0.2189304853291044,0.21445856253634255,0.14361238543145793,0.1436331096670162,0.17530639514615598,0.3229895472190273,9.86548890706307e-05,1.9736558517002865e-05,0.024861032045798936,0.004973612746284722,0.1576738153461092,0.07052384523184142
2022-06-08,-0.0108500160240658,2,3,-0.0643786618134356,-0.037169037728054924,0.2804902542370206,0.2221576435319236,0.25079242093699733,0.20873932245084376,0.13579120498804423,0.15537249594282068,0.2493045556812939,9.237527580227495e-05,1.8490612066228783e-05,0.023278569502173288,0.004659634240689653,0.15257316114629496,0.06826151361264746
2022-06-09,-0.0232996438280527,3,2,-0.053528645789369805,-0.03785046842539612,0.2700858765338366,0.241818557476034,0.21287169518141838,0.18984698397568467,0.15891196575602948,0.13332646912123455,0.30504288596563284,9.457376320458025e-05,1.8916743315502235e-05,0.023832588327554225,0.0047670193155065635,0.15437806945144192,0.06904360445042368
